,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Elements,left,right
2021-08-26 18:58:49.009,0.29964462,-0.026379798,0.7880640625,0.57496077,0.06586013,-0.37179460000000003,0.22631256749999995,0.23468362,0.02184253,-0.32429695,-0.02338066275,0.1430551,0.38537565,0.2995579,0.0199244912625,0.22136073,0.18815467,-0.16833788000000002,-0.6105498374999999,-0.2172511,,0.0,0.0
2021-08-26 18:58:49.109,0.29964462000000003,-0.026379798,0.7928269166666667,0.5749607700000001,0.06586012999999999,-0.3717945999999999,0.23047279111111113,0.23468362,0.021842530000000002,-0.3242969500000001,-0.021680694916666663,0.14305509999999996,0.38537565000000007,0.2995579,0.04231591441666667,0.22136072999999998,0.18815467000000002,-0.16833788000000002,-0.6094178075,-0.21725110000000003,,0.0,0.0
2021-08-26 18:58:49.209,0.29964462,-0.026379798,0.8360947725000001,0.57496077,0.06586013,-0.37179460000000003,0.27570453791666666,0.23468362,0.02184253,-0.32429695,-0.029493983708333334,0.1430551,0.38537565,0.2995579,0.06437105595833333,0.22136073,0.18815467,-0.16833788000000002,-0.5944975458333334,-0.2172511,,0.0,0.0
2021-08-26 18:58:49.309,0.29964462,-0.026379798,0.8764864124999999,0.57496077,0.06586013,-0.37179460000000003,0.31752192500000004,0.23468362,0.02184253,-0.32429695,-0.0347752105,0.1430551,0.38537565,0.2995579,0.0768092495,0.22136073,0.18815467,-0.16833788000000002,-0.580357385,-0.2172511,,0.0,0.0
2021-08-26 18:58:49.409,0.29964462,0.33404926625000003,0.9027403458333333,0.57496077,0.06586013,-0.10498602729166666,0.34624993458333336,0.23468362,0.02184253,-0.19622606458333336,-0.03661776891666667,0.1430551,0.38537565,0.07116380279166666,0.08563617358333332,0.22136073,0.18815467,-0.06322797208333332,-0.5726638041666667,-0.2172511,,0.0,0.0
2021-08-26 18:58:49.509,0.29964462,0.5715642616666667,0.887019616666667,0.5749607699999999,0.06586013,0.07832554458333334,0.31918396166666657,0.23468362000000006,0.02184253,-0.09848259583333334,-0.038077122666666664,0.1430551,0.38537565,0.016822063,0.0893069706666667,0.22136073,0.18815467,-0.05110277416666668,-0.5798952083333334,-0.2172511,,0.0,0.0
2021-08-26 18:58:49.609,0.29964462000000003,0.8752238083333334,0.6233697791666668,0.5749607700000001,0.06586012999999999,0.32073334583333335,-0.13289877083333332,0.23468362,0.021842530000000002,0.02975315,-0.1027180703333333,0.14305509999999996,0.38537565000000007,0.03867018308333334,0.09288792833333331,0.22136072999999998,0.18815467000000002,-0.08935897500000002,-0.6249130066666667,-0.21725110000000003,,0.0,0.0
2021-08-26 18:58:49.709,0.29964462,1.105815775,0.29577297,0.57496077,0.06586013,0.49922078499999994,-0.7008886,0.23468362,0.02184253,0.094193965,-0.19094345,0.1430551,0.38537565,0.07634402083333333,0.094396286,0.22136073,0.18815467,-0.13210355708333335,-0.67079026,-0.2172511,,0.0,0.0
2021-08-26 18:58:49.809,0.29964462000000003,1.1778170999999997,0.29577297,0.5749607700000001,0.06586012999999999,0.5506585999999998,-0.7008885999999999,0.23468362,0.021842530000000002,0.10301964999999998,-0.19094344999999996,0.14305509999999996,0.38537565000000007,0.09189626999999999,0.09439628599999998,0.22136072999999998,0.18815467000000002,-0.14871786999999995,-0.67079026,-0.21725110000000003,,0.0,0.0
2021-08-26 18:58:49.909,0.29964462,1.1778171,0.29577297,0.57496077,0.06586013,0.5506586,-0.7008886,0.23468362,0.02184253,0.10301965,-0.19094345,0.1430551,0.38537565,0.09189627,0.094396286,0.22136073,0.18815467,-0.14871787,-0.67079026,-0.2172511,,0.0,0.0
