,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label_left,label_right
2021-08-26 21:10:30.074,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.3342850499999999,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:30.174,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.3342850499999999,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:30.274,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.3342850499999999,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:30.374,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.3342850499999999,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:30.474,0.29008572999999993,0.0,0.0,-0.017229764,0.40956985999999995,0.0,0.0,0.33428505,0.48444062000000004,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.7236179999999999,0.57030314,0.0,0.0,0.7773981700000001,1.0,0.0
2021-08-26 21:10:30.574,0.29008573000000004,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.33428505,0.48444062000000004,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.7236179999999999,0.57030314,0.0,0.0,0.7773981700000001,1.0,0.0
2021-08-26 21:10:30.674,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.3342850499999999,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:30.774,0.29008573,0.0,0.0,-0.017229764000000005,0.4095698600000001,0.0,0.0,0.33428505000000003,0.48444062,0.0,0.0,0.5722235399999999,0.7590644399999998,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:30.874,0.29008572999999993,0.0,0.0,-0.017229763999999998,0.40956985999999995,0.0,0.0,0.33428505,0.4844406200000001,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.7236179999999998,0.57030314,0.0,0.0,0.7773981700000001,1.0,0.0
2021-08-26 21:10:30.974,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.3342850499999999,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
